techs,carrier_out,carrier_in
SH1_to_TH1,1,1
TH1_to_TH2,1,1
TH2_to_TH3,1,1
TH3_to_TH4,1,1
TH4_to_TH5,1,1
TH5_to_TH6,1,1
TH6_to_TH7,1,1
TH7_to_TH8,1,1
TH8_to_TH9,1,1
TH9_to_TH10,1,1
TH10_to_TH11,1,1
TH11_to_TH12,1,1
TH12_to_TH13,1,1
TH13_to_TH14,1,1
TH14_to_TH15,1,1
TH15_to_TH16,1,1
TH16_to_TH17,1,1
TH17_to_TH18,1,1
TH18_to_TH19,1,1
TH19_to_TH20,1,1
TH20_to_TH21,1,1
TH21_to_TH22,1,1
TH22_to_TH23,1,1
TH23_to_TH24,1,1
TH24_to_TH11,1,1
TH18_to_TH25,1,1
TH25_to_TH26,1,1
TH26_to_TH27,1,1
TH27_to_TH28,1,1
TH27_to_TH29,1,1
TH29_to_TH30,1,1
TH30_to_TH31,1,1
TH27_to_TH32,1,1
TH32_to_TH33,1,1
TH33_to_TH34,1,1
TH35_to_TH35,1,1
TH35_to_TH29,1,1
TH33_to_TH36,1,1
TH36_to_TH37,1,1
TH37_to_TH38,1,1
TH38_to_TH39,1,1
TH39_to_TH40,1,1
TH40_to_TH41,1,1
TH41_to_TH42,1,1
TH42_to_TH29,1,1
TH42_to_TH33,1,1
TH13_to_TH43,1,1
TH43_to_TH44,1,1
TH44_to_TH45,1,1
TH45_to_TH46,1,1
TH46_to_TH47,1,1
TH47_to_TH48,1,1
TH48_to_TH49,1,1
TH49_to_TH50,1,1
TH50_to_TH51,1,1
TH51_to_TH52,1,1
TH52_to_TH53,1,1
TH53_to_TH54,1,1
TH54_to_TH55,1,1
TH55_to_TH56,1,1
TH56_to_TH57,1,1
TH57_to_TH39,1,1
TH49_to_TH58,1,1
TH58_to_TH59,1,1
TH59_to_TH60,1,1
TH60_to_TH61,1,1
TH61_to_TH62,1,1
TH62_to_TH63,1,1
TH63_to_TH64,1,1
TH64_to_TH65,1,1
TH65_to_TH66,1,1
TH66_to_TH67,1,1
TH67_to_TH68,1,1
TH68_to_TH69,1,1
TH69_to_TH70,1,1
TH70_to_TH71,1,1
TH71_to_TH72,1,1
TH72_to_TH73,1,1
TH73_to_TH52,1,1
D1_to_TH30,1,1
D2_to_TH29,1,1
D3_to_TH28,1,1
D4_to_TH28,1,1
D5_to_TH18,1,1
D6_to_TH20,1,1
D7_to_TH20,1,1
D8_to_TH20,1,1
D9_to_TH19,1,1
D10_to_TH19,1,1
D11_to_TH19,1,1
D12_to_TH22,1,1
D13_to_TH23,1,1
D14_to_TH23,1,1
D15_to_TH23,1,1
D16_to_TH23,1,1
D17_to_TH24,1,1
D18_to_TH24,1,1
D19_to_TH24,1,1
D20_to_TH24,1,1
D21_to_TH17,1,1
D22_to_TH17,1,1
D23_to_TH17,1,1
D24_to_TH16,1,1
D25_to_TH16,1,1
D26_to_TH16,1,1
D27_to_TH15,1,1
D28_to_TH15,1,1
D29_to_TH11,1,1
D30_to_TH11,1,1
D31_to_TH12,1,1
D32_to_TH12,1,1
D33_to_TH12,1,1
D34_to_TH12,1,1
D35_to_TH25,1,1
D36_to_TH25,1,1
D37_to_TH26,1,1
D38_to_TH26,1,1
D39_to_TH27,1,1
D40_to_TH32,1,1
D41_to_TH32,1,1
D42_to_TH33,1,1
D43_to_TH17,1,1
D44_to_TH17,1,1
D45_to_TH16,1,1
D46_to_TH16,1,1
D47_to_TH15,1,1
D48_to_TH36,1,1
D49_to_TH14,1,1
D50_to_TH14,1,1
D51_to_TH14,1,1
D52_to_TH36,1,1
D53_to_TH37,1,1
D54_to_TH37,1,1
D55_to_TH33,1,1
D56_to_TH34,1,1
D57_to_TH34,1,1
D58_to_TH34,1,1
D59_to_TH35,1,1
D60_to_TH35,1,1
D61_to_TH41,1,1
D62_to_TH41,1,1
