nodes,techs,parameters,timesteps,2050/01/01 00:00
geothermie_delft,supply_geothermal,source_use_max,,10000.0
warmtenet1,heat_main,sink_use_equals,,0.0
warmtenet2,heat_main,sink_use_equals,,0.0
warmtenet3,heat_main,sink_use_equals,,0.0
warmtenet4,heat_main,sink_use_equals,,0.0
warmtenet5,heat_main,sink_use_equals,,0.0
warmtenet6,heat_main,sink_use_equals,,0.0
warmtenet7,heat_main,sink_use_equals,,0.0
warmtenet8,heat_main,sink_use_equals,,0.0
MV_LV_transformer1,supply_LV_electricity,source_use_max,,1000.0
MV_LV_transformer2,supply_LV_electricity,source_use_max,,1000.0
MV_LV_transformer3,supply_LV_electricity,source_use_max,,1000.0
MV_LV_transformer4,supply_LV_electricity,source_use_max,,1000.0
MV_LV_transformer5,supply_LV_electricity,source_use_max,,1000.0
MV_LV_transformer6,supply_LV_electricity,source_use_max,,1000.0
MV_LV_transformer7,supply_LV_electricity,source_use_max,,1000.0
MV_LV_transformer8,supply_LV_electricity,source_use_max,,1000.0
MV_LV_transformer9,supply_LV_electricity,source_use_max,,1000.0
MV_LV_transformer10,supply_LV_electricity,source_use_max,,1000.0
MV_LV_transformer11,supply_LV_electricity,source_use_max,,1000.0
MV_LV_transformer12,supply_LV_electricity,source_use_max,,1000.0
D0503100000000190,demand_LQ_heat,sink_use_equals,,7.873360792611365
D0503100000000191,demand_LQ_heat,sink_use_equals,,6.476654657448225
D0503100000000193,demand_LQ_heat,sink_use_equals,,763.6551599958245
D0503100000001933,demand_LQ_heat,sink_use_equals,,5.614578955143905
D0503100000001936,demand_LQ_heat,sink_use_equals,,7.416476132449582
D0503100000001937,demand_LQ_heat,sink_use_equals,,6.194341328231606
D0503100000001938,demand_LQ_heat,sink_use_equals,,5.6918573201959415
D0503100000002020,demand_LQ_heat,sink_use_equals,,6.707889590618507
D0503100000002021,demand_LQ_heat,sink_use_equals,,6.394184531506304
D0503100000002023,demand_LQ_heat,sink_use_equals,,7.171059207351567
D0503100000002025,demand_LQ_heat,sink_use_equals,,5.982254747148721
D0503100000002026,demand_LQ_heat,sink_use_equals,,5.804550887461376
D0503100000002031,demand_LQ_heat,sink_use_equals,,5.874350944071999
D0503100000002032,demand_LQ_heat,sink_use_equals,,5.623036821352186
D0503100000002033,demand_LQ_heat,sink_use_equals,,6.969371945864596
D0503100000013778,demand_LQ_heat,sink_use_equals,,5.7813155633761415
D0503100000013779,demand_LQ_heat,sink_use_equals,,7.469486054982546
D0503100000013780,demand_LQ_heat,sink_use_equals,,7.551016618735353
D0503100000013831,demand_LQ_heat,sink_use_equals,,5.529032628254837
D0503100000013832,demand_LQ_heat,sink_use_equals,,6.075404447937214
D0503100000013834,demand_LQ_heat,sink_use_equals,,5.764861817097671
D0503100000013838,demand_LQ_heat,sink_use_equals,,6.197173592032201
D0503100000013839,demand_LQ_heat,sink_use_equals,,6.497261782214535
D0503100000013840,demand_LQ_heat,sink_use_equals,,7.813150522687923
D0503100000013841,demand_LQ_heat,sink_use_equals,,6.339279854894467
D0503100000013842,demand_LQ_heat,sink_use_equals,,7.856900766213765
D0503100000013843,demand_LQ_heat,sink_use_equals,,6.723984698206992
D0503100000013844,demand_LQ_heat,sink_use_equals,,7.57414833210774
D0503100000013845,demand_LQ_heat,sink_use_equals,,6.343450931487425
D0503100000013846,demand_LQ_heat,sink_use_equals,,6.118692443383021
D0503100000013849,demand_LQ_heat,sink_use_equals,,7.268303544427455
D0503100000013850,demand_LQ_heat,sink_use_equals,,5.526644156406137
D0503100000013851,demand_LQ_heat,sink_use_equals,,7.981548486518309
D0503100000013852,demand_LQ_heat,sink_use_equals,,6.055306824852172
D0503100000013853,demand_LQ_heat,sink_use_equals,,5.9652788507677394
D0503100000013854,demand_LQ_heat,sink_use_equals,,5.947346155611354
D0503100000013855,demand_LQ_heat,sink_use_equals,,5.773929539639888
D0503100000013864,demand_LQ_heat,sink_use_equals,,6.3840031876519205
D0503100000013866,demand_LQ_heat,sink_use_equals,,6.598687113873263
D0503100000013867,demand_LQ_heat,sink_use_equals,,5.974749753070103
D0503100000013868,demand_LQ_heat,sink_use_equals,,6.5345692297632505
D0503100000013869,demand_LQ_heat,sink_use_equals,,7.140299707359041
D0503100000013870,demand_LQ_heat,sink_use_equals,,5.570537991008007
D0503100000013871,demand_LQ_heat,sink_use_equals,,5.837766838049284
D0503100000013872,demand_LQ_heat,sink_use_equals,,6.166451445038309
D0503100000013873,demand_LQ_heat,sink_use_equals,,7.071721713465311
D0503100000013875,demand_LQ_heat,sink_use_equals,,6.998841684740786
D0503100000013876,demand_LQ_heat,sink_use_equals,,6.765838116133469
D0503100000013877,demand_LQ_heat,sink_use_equals,,5.848684309359253
D0503100000013878,demand_LQ_heat,sink_use_equals,,6.388171966008448
D0503100000013880,demand_LQ_heat,sink_use_equals,,5.860827330547271
D0503100000013881,demand_LQ_heat,sink_use_equals,,5.3422528863146
D0503100000014645,demand_LQ_heat,sink_use_equals,,6.725833649927956
D0503100000014648,demand_LQ_heat,sink_use_equals,,6.378949828822958
D0503100000014649,demand_LQ_heat,sink_use_equals,,5.679778754354844
D0503100000014654,demand_LQ_heat,sink_use_equals,,6.552037651696454
D0503100000014719,demand_LQ_heat,sink_use_equals,,5.9001839217980585
D0503100000014723,demand_LQ_heat,sink_use_equals,,5.262834729488287
D0503100000014725,demand_LQ_heat,sink_use_equals,,7.423253047665066
D0503100000014726,demand_LQ_heat,sink_use_equals,,5.9260296458334825
D0503100000014729,demand_LQ_heat,sink_use_equals,,5.631660696409703
D0503100000014731,demand_LQ_heat,sink_use_equals,,6.102409033392945
D0503100000014733,demand_LQ_heat,sink_use_equals,,6.328767181345099
D0503100000014739,demand_LQ_heat,sink_use_equals,,5.722856160703671
D0503100000014741,demand_LQ_heat,sink_use_equals,,8.368729426186569
D0503100000014744,demand_LQ_heat,sink_use_equals,,5.872303915957302
D0503100000014745,demand_LQ_heat,sink_use_equals,,6.267161489638387
D0503100000014747,demand_LQ_heat,sink_use_equals,,6.344341895708789
D0503100000014748,demand_LQ_heat,sink_use_equals,,7.409149741243342
D0503100000014835,demand_LQ_heat,sink_use_equals,,6.992927388854651
D0503100000014836,demand_LQ_heat,sink_use_equals,,6.401647781325184
D0503100000014837,demand_LQ_heat,sink_use_equals,,6.779471952871731
D0503100000014838,demand_LQ_heat,sink_use_equals,,7.128856619633462
D0503100000014843,demand_LQ_heat,sink_use_equals,,6.17239262862337
D0503100000014847,demand_LQ_heat,sink_use_equals,,5.860809117039333
D0503100000014848,demand_LQ_heat,sink_use_equals,,5.931699660658933
D0503100000014850,demand_LQ_heat,sink_use_equals,,5.467434503751646
D0503100000014852,demand_LQ_heat,sink_use_equals,,6.946931269496118
D0503100000014854,demand_LQ_heat,sink_use_equals,,7.600091731417994
D0503100000015289,demand_LQ_heat,sink_use_equals,,6.623339175354728
D0503100000015290,demand_LQ_heat,sink_use_equals,,5.559164115619271
D0503100000015291,demand_LQ_heat,sink_use_equals,,5.516676327111127
D0503100000015292,demand_LQ_heat,sink_use_equals,,6.277568611200876
D0503100000015293,demand_LQ_heat,sink_use_equals,,5.589769120343364
D0503100000015294,demand_LQ_heat,sink_use_equals,,6.327142456750904
D0503100000015295,demand_LQ_heat,sink_use_equals,,6.307531374843962
D0503100000015297,demand_LQ_heat,sink_use_equals,,6.6538675448439655
D0503100000015298,demand_LQ_heat,sink_use_equals,,5.762628000443747
D0503100000015299,demand_LQ_heat,sink_use_equals,,6.725855126416687
D0503100000015300,demand_LQ_heat,sink_use_equals,,6.6049959322287854
D0503100000015304,demand_LQ_heat,sink_use_equals,,5.984244585981395
D0503100000015305,demand_LQ_heat,sink_use_equals,,6.453773543352206
D0503100000015306,demand_LQ_heat,sink_use_equals,,5.763780804594711
D0503100000015307,demand_LQ_heat,sink_use_equals,,6.268308007308308
D0503100000015312,demand_LQ_heat,sink_use_equals,,6.2675825995514405
D0503100000015314,demand_LQ_heat,sink_use_equals,,7.293680862416467
D0503100000015316,demand_LQ_heat,sink_use_equals,,6.700811611090929
